marital-status_Married-civ-spouse,age education-num hours-per-week,age education-num^2,education-num^2 hours-per-week,education-num^3,age hours-per-week,marital-status_Never-married,age fnlwgt education-num,age,hours-per-week,relationship_Own-child,capital-gain,fnlwgt education-num^2,fnlwgt education-num hours-per-week,sex_Male,occupation_Exec-managerial,age fnlwgt hours-per-week,fnlwgt capital-gain,relationship_Not-in-family,education_Bachelors
1,20736.0,3888.0,3888.0,729.0,2304.0,0,120840768.0,48,48,0,3103,22657644.0,120840768.0,1,0,644484096.0,867983572.0,0,0
1,30100.0,8428.0,9800.0,2744.0,2150.0,0,208405778.0,43,50,0,0,67853044.0,242332300.0,1,1,744306350.0,0.0,0,0
0,5000.0,2000.0,2500.0,1000.0,500.0,1,88910800.0,20,25,1,0,44455400.0,111138500.0,1,0,222277000.0,0.0,0,0
1,11610.0,3483.0,2430.0,729.0,1290.0,0,49672998.0,43,30,0,0,10396674.0,34655580.0,0,0,165576660.0,0.0,0,0
0,6660.0,2997.0,1620.0,729.0,740.0,0,20162484.0,37,20,0,0,4904388.0,10898640.0,0,0,44805520.0,0.0,0,0
1,28800.0,10240.0,11520.0,4096.0,1800.0,0,54412160.0,40,45,0,0,21764864.0,61213680.0,1,0,153034200.0,0.0,0,0
1,20774.0,5746.0,7943.0,2197.0,1598.0,0,47697988.0,34,47,0,0,18237466.0,65935454.0,1,0,172446572.0,0.0,0,1
0,11900.0,3400.0,3500.0,1000.0,1190.0,1,81119920.0,34,35,1,0,23858800.0,83505800.0,0,0,283919720.0,0.0,0,0
0,1728.0,1152.0,96.0,64.0,432.0,0,38020320.0,72,6,0,0,2112240.0,3168360.0,0,0,57030480.0,0.0,1,0
0,13975.0,4225.0,7267.0,2197.0,1075.0,1,71802575.0,25,43,0,0,37337339.0,123500429.0,1,0,237500825.0,0.0,1,1
1,13000.0,4225.0,6760.0,2197.0,1000.0,0,66932775.0,25,40,0,0,34805043.0,107092440.0,1,0,205947000.0,0.0,0,1
1,36450.0,3645.0,7290.0,729.0,4050.0,0,175293720.0,45,90,0,7298,35058744.0,350587440.0,1,0,1752937200.0,3158749552.0,0,0
0,3960.0,1782.0,1620.0,729.0,440.0,1,46812546.0,22,20,1,0,19150587.0,42556860.0,1,0,104027880.0,0.0,0,0
0,11178.0,1863.0,4374.0,729.0,1242.0,0,27830322.0,23,54,0,0,10890126.0,65340756.0,1,0,166981932.0,0.0,0,0
1,17010.0,4374.0,2835.0,729.0,1890.0,0,48364776.0,54,35,0,0,8060796.0,31347540.0,1,0,188085240.0,0.0,0,0
0,19200.0,3200.0,6000.0,1000.0,1920.0,1,34970240.0,32,60,0,0,10928200.0,65569200.0,1,0,209821440.0,0.0,1,0
1,17480.0,4600.0,3800.0,1000.0,1748.0,0,48964240.0,46,38,0,7688,10644400.0,40448720.0,1,1,186064112.0,818341472.0,0,0
0,19600.0,2744.0,2450.0,343.0,2800.0,0,73167192.0,56,50,0,0,9145899.0,65327850.0,0,0,522622800.0,0.0,0,0
0,15600.0,4056.0,8450.0,2197.0,1200.0,1,58741488.0,24,50,0,0,31818306.0,122378100.0,1,0,225928800.0,0.0,1,1
1,9200.0,2300.0,4000.0,1000.0,920.0,0,59367600.0,23,40,0,0,25812000.0,103248000.0,1,0,237470400.0,0.0,0,0
0,9360.0,2106.0,3240.0,729.0,1040.0,0,10134774.0,26,40,0,0,3508191.0,15591960.0,0,1,45043440.0,0.0,0,0
1,23400.0,5265.0,3240.0,729.0,2600.0,0,112229910.0,65,40,0,0,15539526.0,69064560.0,1,0,498799600.0,0.0,0,0
1,18720.0,6084.0,6760.0,2197.0,1440.0,0,188922708.0,36,40,0,0,68222089.0,209914120.0,1,0,581300640.0,0.0,0,1
0,3300.0,198.0,450.0,27.0,1100.0,1,16397436.0,22,50,0,0,2236014.0,37266900.0,1,0,273290600.0,0.0,1,0
0,4080.0,612.0,1440.0,216.0,680.0,1,27481860.0,17,40,0,0,9699480.0,64663200.0,1,0,183212400.0,0.0,1,0
0,7200.0,1620.0,3240.0,729.0,800.0,1,46351620.0,20,40,1,0,20858229.0,92703240.0,1,0,206007200.0,0.0,0,0
1,45500.0,12740.0,9800.0,2744.0,3250.0,0,124109440.0,65,50,0,0,26731264.0,95468800.0,1,0,443248000.0,0.0,0,0
1,21780.0,5324.0,5445.0,1331.0,1980.0,0,58214068.0,44,45,0,0,14553517.0,59537115.0,1,0,238148460.0,0.0,0,0
1,12960.0,2916.0,3240.0,729.0,1440.0,0,150765624.0,36,40,0,0,37691406.0,167517360.0,1,0,670069440.0,0.0,0,0
1,8120.0,1421.0,1960.0,343.0,1160.0,0,21037702.0,29,40,0,0,5078066.0,29017520.0,1,0,120215440.0,0.0,0,0
0,6400.0,2000.0,3200.0,1000.0,640.0,1,27674200.0,20,32,1,0,13837100.0,44278720.0,1,0,88557440.0,0.0,0,0
1,11088.0,3388.0,4356.0,1331.0,1008.0,0,74792256.0,28,36,0,0,29382672.0,96161472.0,0,0,244774656.0,0.0,0,0
1,6240.0,624.0,640.0,64.0,1560.0,0,45272448.0,39,40,0,0,4643328.0,46433280.0,1,0,452724480.0,0.0,0,0
1,27000.0,5400.0,5000.0,1000.0,2700.0,0,100586880.0,54,50,0,3908,18627200.0,93136000.0,1,0,502934400.0,727950976.0,0,0
0,6552.0,2548.0,882.0,343.0,936.0,0,73186568.0,52,18,0,0,9852038.0,25333812.0,0,0,188194032.0,0.0,1,0
0,25200.0,4536.0,4050.0,729.0,2800.0,0,66485664.0,56,50,0,0,10685196.0,59362200.0,0,1,369364800.0,0.0,1,0
0,3600.0,1800.0,2000.0,1000.0,360.0,1,9799200.0,18,20,1,0,5444000.0,10888000.0,1,0,19598400.0,0.0,0,0
0,14040.0,3159.0,3240.0,729.0,1560.0,0,98355465.0,39,40,1,0,22697415.0,100877400.0,1,0,437135400.0,0.0,0,0
0,5040.0,2100.0,2400.0,1000.0,504.0,1,45023790.0,21,24,1,0,21439900.0,51455760.0,0,0,108057096.0,0.0,0,0
0,11880.0,1782.0,4860.0,729.0,1320.0,1,10724472.0,22,60,0,14084,4387284.0,29248560.0,1,0,71496480.0,762845776.0,1,0
0,10260.0,950.0,1350.0,125.0,2052.0,0,41694740.0,38,54,0,0,5486150.0,59250420.0,1,1,450303192.0,0.0,1,0
0,8400.0,2100.0,4000.0,1000.0,840.0,1,23242170.0,21,40,1,0,11067700.0,44270800.0,0,0,92968680.0,0.0,0,0
1,22680.0,5103.0,3240.0,729.0,2520.0,0,82773495.0,63,40,0,0,11824785.0,52554600.0,1,0,367882200.0,0.0,0,0
1,22100.0,5746.0,8450.0,2197.0,1700.0,0,168878476.0,34,50,0,3103,64571182.0,248350700.0,1,1,649532600.0,1185588034.0,0,1
1,18900.0,3402.0,4050.0,729.0,2100.0,0,64532538.0,42,50,0,5178,13828401.0,76824450.0,1,1,358514100.0,883993338.0,0,0
1,11880.0,2673.0,3240.0,729.0,1320.0,0,80102385.0,33,40,0,0,21846105.0,97093800.0,1,0,356010600.0,0.0,0,0
0,19500.0,5070.0,8450.0,2197.0,1500.0,1,39442650.0,30,50,0,0,17091815.0,65737750.0,0,1,151702500.0,0.0,1,1
0,15600.0,3900.0,4000.0,1000.0,1560.0,0,46187310.0,39,40,0,0,11842900.0,47371600.0,1,0,184749240.0,0.0,1,0
0,14560.0,5096.0,7840.0,2744.0,1040.0,1,11359712.0,26,40,0,0,6116768.0,17476480.0,0,1,32456320.0,0.0,1,0
0,11880.0,2673.0,3240.0,729.0,1320.0,1,83571048.0,33,40,1,0,22792104.0,101298240.0,0,0,371426880.0,0.0,0,0
0,16920.0,3807.0,3240.0,729.0,1880.0,0,72674361.0,47,40,0,0,13916367.0,61850520.0,0,0,322997160.0,0.0,1,0
0,21320.0,6929.0,6760.0,2197.0,1640.0,1,58583096.0,41,40,0,0,18575128.0,57154240.0,0,0,180255680.0,0.0,1,1
1,29520.0,5904.0,8640.0,1728.0,2460.0,0,219127944.0,41,60,0,15024,64135008.0,320675040.0,1,0,1095639720.0,6691419168.0,0,0
0,3800.0,1900.0,2000.0,1000.0,380.0,1,20037400.0,19,20,1,0,10546000.0,21092000.0,1,0,40074800.0,0.0,0,0
0,16560.0,3726.0,3240.0,729.0,1840.0,0,70519932.0,46,40,0,0,13797378.0,61321680.0,1,0,313421920.0,0.0,1,0
1,18576.0,3483.0,3888.0,729.0,2064.0,0,39708522.0,43,48,0,0,8311086.0,44325792.0,1,0,211778784.0,0.0,0,0
1,24750.0,5500.0,4500.0,1000.0,2475.0,0,178137850.0,55,45,0,15024,32388700.0,145749150.0,1,1,801620325.0,4866078288.0,0,0
1,20240.0,5566.0,4840.0,1331.0,1840.0,0,88864732.0,46,40,0,0,21250262.0,77273680.0,1,0,323144480.0,0.0,0,0
1,10800.0,2430.0,3240.0,729.0,1200.0,0,62001720.0,30,40,0,0,18600516.0,82668960.0,1,0,275563200.0,0.0,0,0
0,8400.0,2100.0,4000.0,1000.0,840.0,0,81678660.0,21,40,0,0,38894600.0,155578400.0,0,0,326714640.0,0.0,1,0
1,18400.0,4600.0,4000.0,1000.0,1840.0,0,123755640.0,46,40,0,0,26903400.0,107613600.0,1,0,495022560.0,0.0,0,0
0,4080.0,612.0,1440.0,216.0,680.0,1,16866822.0,17,40,1,0,5952996.0,39686640.0,1,0,112445480.0,0.0,0,0
1,18450.0,3321.0,4050.0,729.0,2050.0,0,27679428.0,41,50,0,0,6075972.0,33755400.0,1,0,153774600.0,0.0,0,0
1,18630.0,5589.0,2430.0,729.0,2070.0,0,108289359.0,69,30,0,0,14124699.0,47082330.0,1,0,360964530.0,0.0,0,0
1,18000.0,4050.0,3240.0,729.0,2000.0,0,140614650.0,50,40,0,0,25310637.0,112491720.0,1,0,624954000.0,0.0,0,0
0,8000.0,2000.0,4000.0,1000.0,800.0,1,14411000.0,20,40,0,0,7205500.0,28822000.0,0,0,57644000.0,0.0,1,0
1,22500.0,4500.0,5000.0,1000.0,2250.0,0,30150450.0,45,50,0,0,6700100.0,33500500.0,1,0,150752250.0,0.0,0,0
0,11960.0,3887.0,6760.0,2197.0,920.0,1,63906466.0,23,40,0,0,36121046.0,111141680.0,1,1,196635280.0,0.0,1,1
0,9600.0,2400.0,4000.0,1000.0,960.0,0,19953840.0,24,40,0,0,8314100.0,33256400.0,1,0,79815360.0,0.0,1,0
1,19800.0,3564.0,4050.0,729.0,2200.0,0,88656876.0,44,50,0,99999,18134361.0,100746450.0,1,0,492538200.0,22387876119.0,0,0
1,15500.0,3100.0,5000.0,1000.0,1550.0,0,35263120.0,31,50,0,0,11375200.0,56876000.0,1,0,176315600.0,0.0,0,0
0,17028.0,3483.0,3564.0,729.0,1892.0,0,65976534.0,43,44,0,0,13809042.0,67510872.0,0,0,322551944.0,0.0,1,0
0,1400.0,980.0,490.0,343.0,200.0,1,34256460.0,20,10,1,0,11989761.0,17128230.0,0,0,48937800.0,0.0,0,0
1,27720.0,4455.0,4536.0,729.0,3080.0,0,79512345.0,55,56,0,0,13011111.0,80958024.0,1,0,494743480.0,0.0,0,0
0,9600.0,2400.0,4000.0,1000.0,960.0,1,54893760.0,24,40,0,0,22872400.0,91489600.0,1,0,219575040.0,0.0,1,0
1,5740.0,8036.0,1960.0,2744.0,410.0,0,22061116.0,41,10,0,7688,7533064.0,5380760.0,0,0,15757940.0,295480592.0,0,0
0,19175.0,9971.0,4225.0,2197.0,1475.0,1,224689582.0,59,25,0,0,49507874.0,95207450.0,0,1,432095350.0,0.0,1,1
0,3920.0,784.0,320.0,64.0,980.0,1,15178828.0,49,20,0,0,1239088.0,6195440.0,1,0,75894140.0,0.0,1,0
1,4620.0,6468.0,1960.0,2744.0,330.0,0,81501420.0,33,10,0,5178,34576360.0,24697400.0,0,0,58215300.0,913450980.0,0,0
0,30680.0,9971.0,6760.0,2197.0,2360.0,0,75920728.0,59,40,0,0,16728296.0,51471680.0,1,0,233602240.0,0.0,1,1
0,19040.0,6664.0,7840.0,2744.0,1360.0,1,94605476.0,34,40,0,0,38955196.0,111300560.0,1,0,270301360.0,0.0,1,0
0,7200.0,1620.0,3240.0,729.0,800.0,1,86273280.0,20,40,1,0,38822976.0,172546560.0,1,0,383436800.0,0.0,0,0
0,13000.0,4225.0,6760.0,2197.0,1000.0,1,76445850.0,25,40,1,0,39751842.0,122313360.0,0,1,235218000.0,0.0,0,1
1,11760.0,1764.0,1440.0,216.0,1960.0,0,48473838.0,49,40,0,0,5935572.0,39570480.0,1,0,323158920.0,0.0,0,0
1,21240.0,4779.0,3240.0,729.0,2360.0,0,144478197.0,59,40,0,0,22039047.0,97951320.0,1,0,642125320.0,0.0,0,0
0,7200.0,1620.0,3240.0,729.0,800.0,1,30545820.0,20,40,0,0,13745619.0,61091640.0,0,0,135759200.0,0.0,1,0
1,9180.0,5100.0,1800.0,1000.0,918.0,0,96778620.0,51,18,0,0,18976200.0,34157160.0,0,0,174201516.0,0.0,0,0
0,11550.0,3300.0,3500.0,1000.0,1155.0,1,66723030.0,33,35,0,0,20219100.0,70766850.0,0,0,233530605.0,0.0,0,0
0,8580.0,2200.0,3900.0,1000.0,858.0,1,46697420.0,22,39,1,0,21226100.0,82781790.0,1,0,182119938.0,0.0,0,0
0,11600.0,1450.0,1000.0,125.0,2320.0,0,87454720.0,58,40,0,0,7539200.0,60313600.0,0,0,699637760.0,0.0,1,0
0,13104.0,4212.0,2268.0,729.0,1456.0,0,72649044.0,52,28,0,0,12573873.0,39118716.0,0,0,226019248.0,0.0,0,0
0,8640.0,1296.0,1440.0,216.0,1440.0,0,16378416.0,36,40,0,0,2729736.0,18198240.0,0,0,109189440.0,0.0,1,0
1,14760.0,3321.0,3240.0,729.0,1640.0,0,74360880.0,41,40,0,0,16323120.0,72547200.0,1,0,330492800.0,0.0,0,0
0,10080.0,2268.0,3240.0,729.0,1120.0,1,38867472.0,28,40,1,2597,12493116.0,55524960.0,1,0,172744320.0,400550892.0,0,0
0,3040.0,1900.0,1600.0,1000.0,304.0,1,54953130.0,19,16,1,0,28922700.0,46276320.0,1,0,87925008.0,0.0,0,0
0,4536.0,1458.0,2268.0,729.0,504.0,1,35225118.0,18,28,0,0,17612559.0,54794628.0,0,0,109589256.0,0.0,1,0
0,7776.0,1458.0,3888.0,729.0,864.0,1,29001240.0,18,48,1,0,14500620.0,77336640.0,0,0,154673280.0,0.0,0,0
1,11200.0,2800.0,4000.0,1000.0,1120.0,0,41894720.0,28,40,0,0,14962400.0,59849600.0,1,0,167578880.0,0.0,0,0
1,12760.0,3509.0,4840.0,1331.0,1160.0,0,107587854.0,29,40,0,0,40809186.0,148397040.0,1,1,391228560.0,0.0,0,0
0,3600.0,1620.0,1620.0,729.0,400.0,1,5543280.0,20,20,1,0,2494476.0,5543280.0,0,0,12318400.0,0.0,0,0
1,16000.0,4000.0,4000.0,1000.0,1600.0,0,41416400.0,40,40,0,0,10354100.0,41416400.0,1,0,165665600.0,0.0,0,0
0,9360.0,2106.0,3240.0,729.0,1040.0,1,48372714.0,26,40,0,0,16744401.0,74419560.0,1,0,214989840.0,0.0,0,0
1,16560.0,3726.0,3240.0,729.0,1840.0,0,40064022.0,46,40,0,0,7838613.0,34838280.0,1,0,178062320.0,0.0,0,0
0,3864.0,1127.0,1176.0,343.0,552.0,1,32355687.0,23,24,0,0,9847383.0,33762456.0,0,0,110933784.0,0.0,1,0
0,15840.0,3564.0,3240.0,729.0,1760.0,0,71287524.0,44,40,0,0,14581539.0,64806840.0,0,0,316833440.0,0.0,0,0
0,22360.0,7267.0,6760.0,2197.0,1720.0,0,100545094.0,43,40,0,0,30397354.0,93530320.0,0,0,309369520.0,0.0,0,1
0,24180.0,5239.0,10140.0,2197.0,1860.0,0,80104310.0,31,60,0,0,33592130.0,155040600.0,0,0,369712200.0,0.0,0,1
0,4500.0,1800.0,2500.0,1000.0,450.0,1,39466080.0,18,25,1,0,21925600.0,54814000.0,0,0,98665200.0,0.0,0,0
0,5700.0,1900.0,3000.0,1000.0,570.0,1,47258700.0,19,30,1,0,24873000.0,74619000.0,1,0,141776100.0,0.0,0,0
0,16400.0,4100.0,4000.0,1000.0,1640.0,0,45400120.0,41,40,0,0,11073200.0,44292800.0,0,0,181600480.0,0.0,1,0
0,14760.0,3321.0,3240.0,729.0,1640.0,0,66796380.0,41,40,0,0,14662620.0,65167200.0,0,0,296872800.0,0.0,0,0
0,15525.0,5589.0,2025.0,729.0,1725.0,0,114134211.0,69,25,0,0,14887071.0,41352975.0,0,0,317039475.0,0.0,1,0
1,30720.0,12288.0,10240.0,4096.0,1920.0,0,33002496.0,48,40,0,0,11000832.0,27502080.0,0,0,82506240.0,0.0,0,0
0,10080.0,2268.0,3240.0,729.0,1120.0,1,33972876.0,28,40,1,0,10919853.0,48532680.0,1,0,150990560.0,0.0,0,0
1,14580.0,2187.0,4860.0,729.0,1620.0,0,28051434.0,27,60,0,0,9350478.0,62336520.0,1,0,187009560.0,0.0,0,0
1,28700.0,8036.0,9800.0,2744.0,2050.0,0,137355904.0,41,50,0,0,46902016.0,167507200.0,1,0,490556800.0,0.0,0,0
1,16400.0,4100.0,4000.0,1000.0,1640.0,0,175652200.0,41,40,0,0,42842000.0,171368000.0,1,0,702608800.0,0.0,0,0
0,8640.0,1944.0,3240.0,729.0,960.0,1,53534736.0,24,40,0,0,20075526.0,89224560.0,0,0,237932160.0,0.0,0,0
0,7200.0,1620.0,3240.0,729.0,800.0,1,60138900.0,20,40,0,0,27062505.0,120277800.0,0,0,267284000.0,0.0,1,0
1,27552.0,10752.0,10496.0,4096.0,1722.0,0,67732896.0,42,41,0,0,25803008.0,66120208.0,1,0,173565546.0,0.0,0,0
1,24624.0,4617.0,3888.0,729.0,2736.0,0,125417214.0,57,48,0,0,19802718.0,105614496.0,1,0,668891808.0,0.0,0,0
0,14400.0,4320.0,5760.0,1728.0,1200.0,1,51451560.0,30,40,0,0,20580624.0,68602080.0,0,0,171505200.0,0.0,1,0
1,19440.0,2916.0,4860.0,729.0,2160.0,0,59247612.0,36,60,0,0,14811903.0,98746020.0,1,0,394984080.0,0.0,0,0
1,7840.0,784.0,640.0,64.0,1960.0,0,33541088.0,49,40,0,0,2738048.0,27380480.0,1,0,335410880.0,0.0,0,0
1,10395.0,2673.0,2835.0,729.0,1155.0,0,43184394.0,33,35,0,0,11777562.0,45801630.0,0,0,167939310.0,0.0,0,0
1,5520.0,828.0,1440.0,216.0,920.0,0,42270642.0,23,40,0,0,11027124.0,73514160.0,1,0,281804280.0,0.0,0,0
1,25760.0,9016.0,7840.0,2744.0,1840.0,0,53981368.0,46,40,0,0,16429112.0,46940320.0,1,0,154232480.0,0.0,0,0
0,3960.0,1800.0,2200.0,1000.0,396.0,1,47181240.0,18,22,1,0,26211800.0,57665960.0,0,0,103798728.0,0.0,0,0
1,19800.0,3240.0,4455.0,729.0,2200.0,0,56149920.0,40,55,0,7688,12633732.0,77206140.0,1,1,343138400.0,1199112736.0,0,0
1,17415.0,3483.0,3645.0,729.0,1935.0,0,83012661.0,43,45,0,0,17374743.0,86873715.0,1,1,415063305.0,0.0,0,0
0,14280.0,6664.0,5880.0,2744.0,1020.0,1,75828228.0,34,30,1,0,31223388.0,66907260.0,0,0,162489060.0,0.0,0,0
0,12690.0,3807.0,2430.0,729.0,1410.0,0,74022885.0,47,30,0,0,14174595.0,47248650.0,0,1,246742950.0,0.0,1,0
0,14520.0,5324.0,3630.0,1331.0,1320.0,0,12907796.0,44,30,0,0,3226949.0,8800770.0,0,1,35203080.0,0.0,0,0
1,11880.0,2673.0,3240.0,729.0,1320.0,0,52784919.0,33,40,0,0,14395887.0,63981720.0,1,0,234599640.0,0.0,0,0
1,35750.0,9295.0,8450.0,2197.0,2750.0,0,89211265.0,55,50,0,15024,21086299.0,81101150.0,1,1,343120250.0,1874559504.0,0,1
0,5130.0,1539.0,2430.0,729.0,570.0,1,78101856.0,19,30,0,2907,36995616.0,123318720.0,1,0,260339520.0,1327731552.0,1,0
0,3920.0,2800.0,1400.0,1000.0,392.0,1,60649120.0,28,14,0,0,21660400.0,30324560.0,1,0,84908768.0,0.0,1,0
1,6048.0,1323.0,1568.0,343.0,864.0,0,41875029.0,27,32,0,0,10856489.0,49629664.0,0,0,191428704.0,0.0,0,0
1,4000.0,800.0,320.0,64.0,1000.0,0,22912800.0,50,20,0,0,1833024.0,9165120.0,1,0,114564000.0,0.0,0,0
0,6160.0,1078.0,1960.0,343.0,880.0,1,48583304.0,22,40,0,0,15458324.0,88333280.0,1,0,277618880.0,0.0,0,0
1,23400.0,6760.0,7605.0,2197.0,1800.0,0,35294480.0,40,45,0,0,11470706.0,39706290.0,1,0,122173200.0,0.0,0,1
0,10000.0,2500.0,4000.0,1000.0,1000.0,1,31527500.0,25,40,1,0,12611000.0,50444000.0,0,0,126110000.0,0.0,0,0
0,9360.0,2106.0,3240.0,729.0,1040.0,1,23929776.0,26,40,0,0,8283384.0,36815040.0,1,0,106354560.0,0.0,1,0
0,7150.0,3718.0,4225.0,2197.0,550.0,1,153645492.0,22,25,0,0,90790518.0,174597150.0,1,0,295472100.0,0.0,1,1
0,16800.0,4200.0,4000.0,1000.0,1680.0,1,47767440.0,42,40,0,0,11373200.0,45492800.0,0,0,191069760.0,0.0,0,0
0,19760.0,6422.0,6760.0,2197.0,1520.0,0,46053150.0,38,40,0,0,15755025.0,48477000.0,1,1,141702000.0,0.0,1,1
1,11550.0,2695.0,1470.0,343.0,1650.0,0,16579640.0,55,30,0,0,2110136.0,9043440.0,1,0,71055600.0,0.0,0,0
1,11520.0,2592.0,3240.0,729.0,1280.0,0,39433248.0,32,40,0,0,11090601.0,49291560.0,1,0,175258880.0,0.0,0,0
1,8910.0,1782.0,3645.0,729.0,990.0,0,76999230.0,22,45,0,0,31499685.0,157498425.0,1,0,384996150.0,0.0,0,0
0,15080.0,4901.0,6760.0,2197.0,1160.0,1,53627873.0,29,40,1,0,24040081.0,73969480.0,1,0,165008840.0,0.0,0,1
1,28980.0,9016.0,8820.0,2744.0,2070.0,0,36605604.0,46,45,0,0,11140836.0,35809830.0,1,1,117660870.0,0.0,0,0
1,12400.0,3100.0,4000.0,1000.0,1240.0,0,48512830.0,31,40,0,0,15649300.0,62597200.0,1,1,194051320.0,0.0,0,0
1,14848.0,14848.0,4096.0,4096.0,928.0,0,147571488.0,58,16,0,0,40709376.0,40709376.0,1,0,147571488.0,0.0,0,0
1,17010.0,3402.0,3645.0,729.0,1890.0,0,72163980.0,42,45,0,0,15463710.0,77318550.0,1,0,360819900.0,0.0,0,0
0,4050.0,1458.0,2025.0,729.0,450.0,1,6784398.0,18,25,0,0,3392199.0,9422775.0,1,0,18845550.0,0.0,0,0
0,17226.0,4698.0,2673.0,729.0,1914.0,0,71643978.0,58,33,0,0,11117169.0,40762953.0,1,1,262694586.0,0.0,1,0
1,19440.0,4374.0,3240.0,729.0,2160.0,0,114772302.0,54,40,0,0,19128717.0,85016520.0,1,0,510099120.0,0.0,0,0
0,19040.0,6664.0,7840.0,2744.0,1360.0,1,90325284.0,34,40,0,0,37192764.0,106265040.0,1,0,258072240.0,0.0,1,0
0,13520.0,4394.0,6760.0,2197.0,1040.0,1,81078426.0,26,40,0,0,40539213.0,124736040.0,0,0,249472080.0,0.0,1,1
1,29280.0,3904.0,3840.0,512.0,3660.0,0,10333400.0,61,60,0,0,1355200.0,10164000.0,1,1,77500500.0,0.0,0,0
0,26880.0,9408.0,7840.0,2744.0,1920.0,0,45177888.0,48,40,0,0,13176884.0,37648240.0,0,0,129079680.0,0.0,0,0
1,16200.0,3600.0,4500.0,1000.0,1620.0,0,85100760.0,36,45,0,0,23639100.0,106375950.0,1,1,382953420.0,0.0,0,0
1,11880.0,2904.0,5445.0,1331.0,1080.0,0,85957344.0,24,45,0,0,39397116.0,161170020.0,1,0,351643680.0,0.0,0,0
1,14800.0,4000.0,3700.0,1000.0,1480.0,0,33364400.0,40,37,0,0,8341100.0,30862070.0,1,0,123448280.0,0.0,0,0
1,14850.0,2673.0,4050.0,729.0,1650.0,0,45805419.0,33,50,0,0,12492387.0,69402150.0,1,0,254474550.0,0.0,0,0
1,14800.0,3700.0,4000.0,1000.0,1480.0,0,91763700.0,37,40,0,0,24801000.0,99204000.0,1,0,367054800.0,0.0,0,0
0,19040.0,6664.0,7840.0,2744.0,1360.0,1,94539788.0,34,40,1,4650,38928148.0,111223280.0,1,1,270113680.0,923550450.0,0,0
1,22400.0,5600.0,4000.0,1000.0,2240.0,0,180056240.0,56,40,0,15024,32152900.0,128611600.0,1,1,720224960.0,4830651696.0,0,0
1,9576.0,2268.0,3078.0,729.0,1064.0,0,42468048.0,28,38,1,0,13650444.0,57635208.0,0,0,179309536.0,0.0,0,0
0,26455.0,6253.0,9295.0,2197.0,2035.0,0,97680999.0,37,55,0,0,34320351.0,145201485.0,0,1,413265765.0,0.0,1,1
0,15840.0,3564.0,3240.0,729.0,1760.0,0,112722192.0,44,40,0,0,23056812.0,102474720.0,0,0,500987520.0,0.0,0,0
1,5120.0,6400.0,800.0,1000.0,512.0,0,128875520.0,64,8,0,0,20136800.0,16109440.0,1,0,103100416.0,0.0,0,0
0,21870.0,4374.0,3645.0,729.0,2430.0,0,29082240.0,54,45,0,0,4847040.0,24235200.0,1,0,145411200.0,0.0,1,0
